sae_type,gamma_reg,kval_topk
relu,15.0,0
relu,20.0,0
relu,30.0,0
relu,0.001,0
relu,0.01,0
relu,0.1,0
relu,1.0,0
relu,5.0,0
relu,10.0,0
relu,50.0,0
jumprelu,0.001,0
jumprelu,0.01,0
jumprelu,0.1,0
jumprelu,1.0,0
jumprelu,5.0,0
jumprelu,10.0,0
jumprelu,50.0,0
topk_relu,1.0,4
topk_relu,1.0,8
topk_relu,1.0,16
topk_relu,1.0,32
topk_relu,1.0,64
topk_relu,1.0,128
topk_relu,1.0,256
sparsemax_dist,0.001,0
sparsemax_dist,0.01,0
sparsemax_dist,0.1,0
sparsemax_dist,1.0,0
sparsemax_dist,3.0,0
sparsemax_dist,5.0,0
sparsemax_dist,10.0,0
